****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_1
Version: Q-2019.12-SP1
Date   : Wed Aug 28 21:47:45 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net232                      1.80    0.038    0.600    0.50e-4  6.159e-09  a
net228                      1.80    0.074    0.000    0.25e-4  5.980e-09  a
net6                        1.80    0.018    0.100    0.0002   5.928e-09  a
net1086                     1.80    0.037    0.400    0.50e-4  5.927e-09  a
net119                      1.80    0.072    0.000    0.25e-4  5.801e-09  a
net975                      1.80    0.071    0.000    0.25e-4  5.706e-09  a
net84                       1.80    0.035    0.900    0.50e-4  5.679e-09  a
net83                       1.80    0.034    0.700    0.50e-4  5.509e-09  a
net1104                     1.80    0.034    0.400    0.50e-4  5.458e-09  a
net883                      1.80    0.017    0.700    0.0001   5.384e-09  a
net884                      1.80    0.033    0.300    1.00e-4  5.296e-09  a
net9                        1.80    0.011    0.200    0.0002   5.260e-09  a
clknet_1_0__leaf_net946     1.80    0.063    0.100    0.75e-4  5.137e-09  a
net105                      1.80    0.016    0.700    0.0001   5.081e-09  a
net200                      1.80    0.031    0.700    0.50e-4  4.988e-09  a
net71                       1.80    0.030    0.100    1.00e-4  4.875e-09  a
net918                      1.80    0.030    0.400    0.50e-4  4.776e-09  a
clknet_1_1__leaf_net946     1.80    0.059    0.100    0.75e-4  4.759e-09  a
net88                       1.80    0.029    0.700    0.50e-4  4.730e-09  a
net916                      1.80    0.029    0.500    0.50e-4  4.721e-09  a
net890                      1.80    0.014    0.700    0.0001   4.685e-09  a
net20                       1.80    0.029    0.500    0.0001   4.669e-09  a
net1084                     1.80    0.029    0.700    0.50e-4  4.660e-09  a
net920                      1.80    0.029    0.700    0.50e-4  4.656e-09  a
net1085                     1.80    0.028    0.700    0.50e-4  4.524e-09  a
net911                      1.80    0.014    0.500    0.0001   4.514e-09  a
net130                      1.80    0.056    0.200    0.75e-4  4.509e-09  a
clknet_0_net331             1.80    0.018    0.000    0.0001   4.474e-09  a
net124                      1.80    0.055    0.500    0.50e-4  4.446e-09  a
clknet_1_1__leaf_net483     1.80    0.027    0.100    0.0001   4.398e-09  a
net1018                     1.80    0.027    0.700    0.50e-4  4.356e-09  a
net204                      1.80    0.027    0.700    0.50e-4  4.309e-09  a
net207                      1.80    0.026    0.700    0.50e-4  4.154e-09  a
net222                      1.80    0.051    0.000    0.25e-4  4.133e-09  a
net903                      1.80    0.025    0.600    0.0001   4.084e-09  a
clknet_1_1__leaf_net331     1.80    0.017    0.000    0.0001   4.083e-09  a
net530                      1.80    0.012    0.000    0.0002   4.023e-09  a
net201                      1.80    0.025    0.700    0.50e-4  3.977e-09  a
net203                      1.80    0.025    0.700    0.50e-4  3.966e-09  a
net1036                     1.80    0.024    0.400    0.50e-4  3.948e-09  a
net887                      1.80    0.012    0.500    0.0001   3.946e-09  a
net912                      1.80    0.012    0.600    0.0002   3.914e-09  a
net103                      1.80    0.008    0.500    0.0002   3.903e-09  a
net873                      1.80    0.012    0.200    0.0002   3.884e-09  a
clknet_1_0__leaf_net483     1.80    0.024    0.100    0.0001   3.872e-09  a
net331                      1.80    0.015    0.000    0.0001   3.755e-09  a
net311                      1.80    0.011    0.000    0.0002   3.652e-09  a
net72                       1.80    0.023    0.700    0.50e-4  3.652e-09  a
net23                       1.80    0.022    0.100    0.50e-4  3.636e-09  a
net196                      1.80    0.006    0.500    0.0003   3.634e-09  a
net535                      1.80    0.011    0.000    0.0002   3.473e-09  a
clknet_0_net483             1.80    0.021    0.100    0.0001   3.443e-09  a
net15                       1.80    0.021    0.700    0.50e-4  3.443e-09  a
net121                      1.80    0.021    0.500    0.0001   3.440e-09  a
net914                      1.80    0.011    0.600    0.0002   3.432e-09  a
net101                      1.80    0.021    0.200    0.50e-4  3.397e-09  a
net79                       1.80    0.021    0.700    0.50e-4  3.354e-09  a
net94                       1.80    0.021    0.700    0.50e-4  3.350e-09  a
net117                      1.80    0.020    0.400    0.50e-4  3.171e-09  a
net320                      1.80    0.013    0.000    0.0001   3.158e-09  a
net197                      1.80    0.019    0.900    0.50e-4  3.099e-09  a
clknet_0_net177             1.80    0.019    0.000    0.75e-4  3.089e-09  a
net529                      1.80    0.010    0.000    0.0002   3.085e-09  a
net483                      1.80    0.019    0.100    0.0001   3.070e-09  a
clknet_1_0__leaf_net177     1.80    0.019    0.000    0.75e-4  3.026e-09  a
net102                      1.80    0.009    0.400    0.0002   2.993e-09  a
net199                      1.80    0.018    0.700    0.50e-4  2.913e-09  a
net877                      1.80    0.018    0.300    1.00e-4  2.874e-09  a
net26                       1.80    0.009    0.500    0.0002   2.869e-09  a
net205                      1.80    0.018    0.700    0.50e-4  2.866e-09  a
net531                      1.80    0.011    0.000    0.0001   2.770e-09  a
net314                      1.80    0.011    0.700    0.0001   2.744e-09  a
net867                      1.80    0.008    0.400    0.0001   2.713e-09  a
net310                      1.80    0.033    0.000    0.25e-4  2.701e-09  a
net133                      1.80    0.016    0.400    0.50e-4  2.640e-09  a
net198                      1.80    0.016    0.700    0.50e-4  2.557e-09  a
net1075                     1.80    0.016    0.700    0.50e-4  2.548e-09  a
net95                       1.80    0.016    0.700    0.50e-4  2.509e-09  a
clknet_1_0__leaf_net330     1.80    0.030    0.000    0.25e-4  2.465e-09  a
net1106                     1.80    0.007    0.700    0.0001   2.362e-09  a
net91                       1.80    0.015    0.900    1.00e-4  2.356e-09  a
net1065                     1.80    0.015    0.700    0.50e-4  2.353e-09  a
clknet_1_1__leaf_net177     1.80    0.015    0.000    0.75e-4  2.350e-09  a
net899                      1.80    0.014    0.900    1.00e-4  2.255e-09  a
net38                       1.80    0.028    0.500    0.75e-4  2.245e-09  a
net1078                     1.80    0.014    0.700    0.50e-4  2.202e-09  a
net230                      1.80    0.013    0.700    0.50e-4  2.163e-09  a
net869                      1.80    0.013    0.600    1.00e-4  2.130e-09  a
net907                      1.80    0.013    0.100    1.00e-4  2.042e-09  a
net864                      1.80    0.012    0.600    1.00e-4  2.019e-09  a
net915                      1.80    0.012    0.700    0.50e-4  2.012e-09  a
net910                      1.80    0.012    0.500    0.0001   2.001e-09  a
net895                      1.80    0.012    0.700    0.50e-4  1.934e-09  a
clknet_0_net946             1.80    0.024    0.100    0.75e-4  1.920e-09  a
net902                      1.80    0.012    0.100    1.00e-4  1.905e-09  a
net874                      1.80    0.011    0.500    1.00e-4  1.774e-09  a
clknet_0_net330             1.80    0.020    0.000    0.25e-4  1.632e-09  a
net1107                     1.80    0.005    0.700    0.0001   1.618e-09  a
net420                      1.80    0.020    0.000    0.25e-4  1.617e-09  a
net241                      1.80    0.020    0.000    0.25e-4  1.600e-09  a
net135                      1.80    0.005    0.600    0.0002   1.571e-09  a
net318                      1.80    0.006    0.000    0.0001   1.508e-09  a
net177                      1.80    0.009    0.000    0.75e-4  1.472e-09  a
net871                      1.80    0.009    0.500    0.50e-4  1.438e-09  a
net100                      1.80    0.009    0.700    0.50e-4  1.436e-09  a
net231                      1.80    0.018    0.000    0.25e-4  1.431e-09  a
net323                      1.80    0.004    0.400    0.0002   1.420e-09  a
net946                      1.80    0.018    0.100    0.75e-4  1.420e-09  a
net210                      1.80    0.004    0.700    0.0001   1.403e-09  a
net1060                     1.80    0.008    0.900    0.50e-4  1.297e-09  a
net526                      1.80    0.005    0.000    0.0001   1.293e-09  a
net1108                     1.80    0.004    0.700    0.0001   1.254e-09  a
clknet_1_1__leaf_net330     1.80    0.015    0.000    0.25e-4  1.179e-09  a
net330                      1.80    0.014    0.000    0.25e-4  1.172e-09  a
net150                      1.80    0.014    0.200    0.75e-4  1.146e-09  a
net111                      1.80    0.003    0.700    0.0001   1.079e-09  a
net27                       1.80    0.006    0.100    1.00e-4  1.021e-09  a
net226                      1.80    0.003    0.900    0.0002   1.019e-09  a
net1069                     1.80    0.006    0.700    0.50e-4  9.970e-10  a
net358                      1.80    0.006    0.000    0.75e-4  9.956e-10  a
net543                      1.80    0.003    0.000    0.0002   9.763e-10  a
net258                      1.80    0.012    0.700    0.50e-4  9.471e-10  a
net905                      1.80    0.006    0.500    1.00e-4  9.363e-10  a
net336                      1.80    0.003    0.000    0.0002   9.297e-10  a
net272                      1.80    0.011    0.200    0.75e-4  9.023e-10  a
net41                       1.80    0.011    0.500    0.75e-4  8.847e-10  a
net53                       1.80    0.005    0.000    0.75e-4  8.744e-10  a
net904                      1.80    0.005    0.300    1.00e-4  8.512e-10  a
net538                      1.80    0.003    0.500    0.0001   8.343e-10  a
net898                      1.80    0.005    0.600    0.50e-4  8.135e-10  a
net216                      1.80    0.003    0.500    0.0001   7.793e-10  a
net1074                     1.80    0.005    0.700    0.50e-4  7.483e-10  a
net1115                     1.80    0.004    0.700    0.50e-4  7.238e-10  a
net888                      1.80    0.002    0.300    0.0001   6.943e-10  a
net239                      1.80    0.003    0.400    1.00e-4  6.754e-10  a
net327                      1.80    0.003    0.000    0.0001   6.658e-10  a
net863                      1.80    0.004    0.800    0.50e-4  6.519e-10  a
net1066                     1.80    0.004    0.700    0.50e-4  6.502e-10  a
net168                      1.80    0.008    0.000    0.25e-4  6.474e-10  a
net126                      1.80    0.004    0.800    1.00e-4  6.288e-10  a
