****************************************
Report : Time Based Power
	-net_power
	-hierarchy
	-sort_by net_switching_power
	-power_greater_than       0
	-nosplit
Design : netlist_0
Version: Q-2019.12-SP1
Date   : Thu Aug 29 17:42:40 2024
****************************************



  Attributes
  ----------
      a  -  Switching activity information / Switching power information annotated on net
      p  -  Propagated switching activity information on net
      d  -  Default switching activity used on net
      u  -  Net switching activity uninitialized
      m  -  Net is driven by multiple pins
      b  -  Net is a primary input (boundary net)

		Toggle rates reported with respect to time unit 1ns
--------------------------------------------------------------------------------
                                  Total      Static   Toggle   Switching
Net                         Vdd   Net Load   Prob.    Rate     Power      Attrs
net1001                     1.80    0.048    0.549    0.0002   1.466e-08  a
net199                      1.80    0.020    0.676    0.0005   1.461e-08  a
net419                      1.80    0.051    0.512    0.0002   1.443e-08  a
net7                        1.80    0.059    0.526    0.0002   1.437e-08  a
net0                        1.80    0.042    0.540    0.0002   1.428e-08  a
net221                      1.80    0.051    0.748    0.0002   1.414e-08  a
net113                      1.80    0.118    0.170    0.74e-4  1.403e-08  a
net418                      1.80    0.030    0.474    0.0003   1.394e-08  a
net1065                     1.80    0.040    0.586    0.0002   1.363e-08  a
net4                        1.80    0.060    0.647    0.0001   1.358e-08  a
net90                       1.80    0.036    0.583    0.0002   1.314e-08  a
net105                      1.80    0.026    0.581    0.0003   1.310e-08  a
net68                       1.80    0.048    0.655    0.0002   1.301e-08  a
net1063                     1.80    0.045    0.518    0.0002   1.278e-08  a
net1050                     1.80    0.051    0.488    0.0002   1.274e-08  a
net1098                     1.80    0.051    0.488    0.0002   1.256e-08  a
net95                       1.80    0.031    0.537    0.0002   1.255e-08  a
net876                      1.80    0.062    0.532    0.0001   1.241e-08  a
net1100                     1.80    0.036    0.586    0.0002   1.231e-08  a
net1046                     1.80    0.124    0.510    0.59e-4  1.206e-08  a
net94                       1.80    0.027    0.529    0.0003   1.196e-08  a
net1095                     1.80    0.042    0.518    0.0002   1.189e-08  a
net107                      1.80    0.027    0.670    0.0003   1.188e-08  a
net77                       1.80    0.024    0.630    0.0003   1.180e-08  a
net119                      1.80    0.081    0.179    0.90e-4  1.173e-08  a
net3                        1.80    0.041    0.484    0.0002   1.168e-08  a
net73                       1.80    0.034    0.586    0.0002   1.168e-08  a
net913                      1.80    0.082    0.560    0.87e-4  1.167e-08  a
net1055                     1.80    0.046    0.488    0.0002   1.149e-08  a
net1020                     1.80    0.033    0.547    0.0002   1.112e-08  a
net31                       1.80    0.031    0.612    0.0002   1.085e-08  a
net12                       1.80    0.066    0.526    0.99e-4  1.076e-08  a
net982                      1.80    0.059    0.428    0.0001   1.072e-08  a
net88                       1.80    0.028    0.626    0.0002   1.066e-08  a
net1071                     1.80    0.030    0.586    0.0002   1.051e-08  a
net312                      1.80    0.023    0.608    0.0003   1.051e-08  a
net1000                     1.80    0.124    0.101    0.52e-4  1.045e-08  a
net121                      1.80    0.026    0.374    0.0003   1.044e-08  a
net1039                     1.80    0.050    0.481    0.0001   1.043e-08  a
net203                      1.80    0.026    0.848    0.0002   1.038e-08  a
net86                       1.80    0.021    0.694    0.0003   1.037e-08  a
net1097                     1.80    0.030    0.547    0.0002   1.024e-08  a
net897                      1.80    0.028    0.486    0.0002   9.995e-09  a
net1006                     1.80    0.029    0.586    0.0002   9.929e-09  a
net1034                     1.80    0.036    0.655    0.0002   9.711e-09  a
net875                      1.80    0.028    0.494    0.0002   9.274e-09  a
net1                        1.80    0.025    0.513    0.0002   9.269e-09  a
net1064                     1.80    0.034    0.655    0.0002   9.231e-09  a
net311                      1.80    0.011    0.368    0.0005   9.222e-09  a
net14                       1.80    0.030    0.564    0.0002   9.214e-09  a
net75                       1.80    0.028    0.608    0.0002   9.209e-09  a
net1070                     1.80    0.031    0.549    0.0002   9.139e-09  a
net420                      1.80    0.026    0.512    0.0002   8.921e-09  a
net196                      1.80    0.011    0.542    0.0005   8.917e-09  a
net1096                     1.80    0.033    0.655    0.0002   8.910e-09  a
net1103                     1.80    0.029    0.549    0.0002   8.845e-09  a
net222                      1.80    0.046    0.311    0.0001   8.842e-09  a
net1058                     1.80    0.036    0.488    0.0002   8.831e-09  a
net72                       1.80    0.025    0.586    0.0002   8.679e-09  a
net81                       1.80    0.028    0.549    0.0002   8.598e-09  a
net18                       1.80    0.030    0.472    0.0002   8.583e-09  a
net1049                     1.80    0.034    0.488    0.0002   8.450e-09  a
net131                      1.80    0.029    0.229    0.0002   8.374e-09  a
net22                       1.80    0.024    0.591    0.0002   8.305e-09  a
net879                      1.80    0.050    0.551    0.0001   8.271e-09  a
net865                      1.80    0.068    0.462    0.75e-4  8.254e-09  a
net101                      1.80    0.018    0.632    0.0003   8.205e-09  a
net211                      1.80    0.025    0.403    0.0002   8.149e-09  a
net1037                     1.80    0.026    0.548    0.0002   8.122e-09  a
net30                       1.80    0.021    0.431    0.0002   8.106e-09  a
net15                       1.80    0.024    0.610    0.0002   8.091e-09  a
net8                        1.80    0.024    0.591    0.0002   7.962e-09  a
net918                      1.80    0.026    0.548    0.0002   7.957e-09  a
net1032                     1.80    0.069    0.474    0.69e-4  7.817e-09  a
net223                      1.80    0.021    0.564    0.0002   7.730e-09  a
net1067                     1.80    0.026    0.549    0.0002   7.699e-09  a
net1101                     1.80    0.031    0.488    0.0002   7.627e-09  a
net1003                     1.80    0.120    0.086    0.39e-4  7.580e-09  a
net872                      1.80    0.078    0.510    0.59e-4  7.566e-09  a
net987                      1.80    0.024    0.512    0.0002   7.403e-09  a
net868                      1.80    0.031    0.522    0.0001   7.335e-09  a
net20                       1.80    0.027    0.712    0.0002   7.249e-09  a
net217                      1.80    0.053    0.217    0.84e-4  7.189e-09  a
net307                      1.80    0.008    0.472    0.0005   6.998e-09  a
net883                      1.80    0.018    0.476    0.0002   6.924e-09  a
net893                      1.80    0.024    0.457    0.0002   6.840e-09  a
net1004                     1.80    0.023    0.518    0.0002   6.726e-09  a
net900                      1.80    0.038    0.570    0.0001   6.593e-09  a
net1044                     1.80    0.102    0.497    0.39e-4  6.575e-09  a
net1092                     1.80    0.025    0.588    0.0002   6.549e-09  a
net909                      1.80    0.037    0.501    0.0001   6.490e-09  a
net903                      1.80    0.031    0.481    0.0001   6.336e-09  a
net882                      1.80    0.130    0.490    0.30e-4  6.327e-09  a
net908                      1.80    0.114    0.420    0.33e-4  6.272e-09  a
net99                       1.80    0.026    0.705    0.0001   6.246e-09  a
net87                       1.80    0.022    0.518    0.0002   6.226e-09  a
net23                       1.80    0.015    0.687    0.0003   6.225e-09  a
net32                       1.80    0.016    0.635    0.0002   6.213e-09  a
net1056                     1.80    0.023    0.655    0.0002   6.211e-09  a
net82                       1.80    0.021    0.549    0.0002   6.169e-09  a
clknet_1_0__leaf_net331     1.80    0.023    0.092    0.0002   6.116e-09  a
net906                      1.80    0.023    0.462    0.0002   5.910e-09  a
net886                      1.80    0.029    0.455    0.0001   5.831e-09  a
net124                      1.80    0.053    0.136    0.66e-4  5.698e-09  a
net13                       1.80    0.015    0.580    0.0002   5.619e-09  a
net16                       1.80    0.015    0.555    0.0002   5.596e-09  a
net29                       1.80    0.017    0.595    0.0002   5.545e-09  a
net79                       1.80    0.019    0.628    0.0002   5.537e-09  a
net907                      1.80    0.015    0.504    0.0002   5.513e-09  a
net884                      1.80    0.014    0.502    0.0002   5.435e-09  a
net1043                     1.80    0.114    0.447    0.28e-4  5.369e-09  a
net887                      1.80    0.014    0.500    0.0002   5.324e-09  a
clknet_0_net331             1.80    0.020    0.092    0.0002   5.251e-09  a
net6                        1.80    0.022    0.734    0.0001   5.230e-09  a
net10                       1.80    0.033    0.726    0.98e-4  5.208e-09  a
net118                      1.80    0.020    0.502    0.0002   5.181e-09  a
net914                      1.80    0.014    0.492    0.0002   5.163e-09  a
net71                       1.80    0.017    0.647    0.0002   5.012e-09  a
clknet_1_0__leaf_net483     1.80    0.030    0.104    0.0001   4.939e-09  a
clknet_1_1__leaf_net483     1.80    0.030    0.104    0.0001   4.925e-09  a
net877                      1.80    0.023    0.552    0.0001   4.808e-09  a
net873                      1.80    0.014    0.500    0.0002   4.748e-09  a
net224                      1.80    0.016    0.549    0.0002   4.732e-09  a
net25                       1.80    0.012    0.392    0.0002   4.706e-09  a
net117                      1.80    0.029    0.081    0.96e-4  4.564e-09  a
net102                      1.80    0.009    0.486    0.0003   4.550e-09  a
net1062                     1.80    0.013    0.586    0.0002   4.371e-09  a
net1059                     1.80    0.013    0.547    0.0002   4.348e-09  a
net1042                     1.80    0.133    0.456    0.20e-4  4.309e-09  a
net440                      1.80    0.018    0.667    0.0001   4.291e-09  a
net11                       1.80    0.015    0.529    0.0002   4.281e-09  a
